epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2342,2.61408,6.30355,3.6195,0.48088,0.16138,0.1091,0.0378,2.31822,4.50652,3.36458,4.5e-05,4.5e-05,0.091045
2,28.271,2.23189,3.47693,2.76349,0.8255,0.06345,0.07282,0.0258,2.18732,5.27283,2.71856,9.34325e-05,9.34325e-05,0.0810934
3,37.2895,1.8618,2.46389,2.17164,0.55432,0.06938,0.0507,0.02105,2.3666,3.62746,2.75801,0.000140215,0.000140215,0.0711402
4,44.9032,1.68185,2.35738,1.97392,0.60151,0.05641,0.10921,0.05413,2.09704,3.44417,2.37501,0.000185348,0.000185348,0.0611853
5,54.06,1.54152,2.07834,1.86844,0.42032,0.23689,0.213,0.11498,1.78753,2.90811,2.04056,0.00022883,0.00022883,0.0512288
6,62.6433,1.43153,1.84865,1.81255,0.3063,0.33366,0.28851,0.16339,1.69644,2.52065,1.93768,0.000270662,0.000270662,0.0412707
7,71.6616,1.36145,1.58833,1.658,0.44212,0.34591,0.40494,0.20242,1.67144,2.42131,1.90506,0.000310845,0.000310845,0.0313108
8,81.572,1.40368,1.49858,1.73632,0.50004,0.30524,0.41697,0.23808,1.63127,2.4229,1.89997,0.000349377,0.000349377,0.0213494
9,91.8029,1.31098,1.39055,1.59761,0.50954,0.40834,0.39068,0.23391,1.58818,2.307,1.85247,0.00038626,0.00038626,0.0113863
10,100.818,1.24659,1.34313,1.61204,0.56854,0.32205,0.43681,0.2757,1.53281,2.29558,1.80929,0.000421493,0.000421493,0.00142149
11,111.589,1.22292,1.19506,1.49214,0.53639,0.38419,0.47625,0.28903,1.5373,2.21295,1.82094,0.0004175,0.0004175,0.0004175
12,122.92,1.18864,1.20965,1.48605,0.58775,0.37893,0.47915,0.28594,1.51729,2.1639,1.80354,0.00040925,0.00040925,0.00040925
13,131.503,1.15434,1.15557,1.45862,0.71987,0.37111,0.47498,0.26779,1.56347,2.26076,1.84005,0.000401,0.000401,0.000401
14,140.474,1.17798,1.06817,1.41479,0.37995,0.57725,0.47498,0.25177,1.63932,2.20671,1.88785,0.00039275,0.00039275,0.00039275
15,148.018,1.22078,1.17291,1.52213,0.66134,0.6011,0.51216,0.26704,1.55482,2.02162,1.82541,0.0003845,0.0003845,0.0003845
16,156.027,1.10223,1.04403,1.45475,0.67669,0.59752,0.60611,0.32679,1.57579,1.93005,1.82474,0.00037625,0.00037625,0.00037625
17,166.126,1.15339,1.0106,1.40149,0.7057,0.60288,0.61921,0.33893,1.52785,1.87697,1.76902,0.000368,0.000368,0.000368
18,176.366,1.09343,1.06577,1.43039,0.74737,0.60271,0.55466,0.317,1.45889,1.86661,1.69879,0.00035975,0.00035975,0.00035975
19,185.591,1.08482,0.95443,1.36609,0.54369,0.59291,0.51997,0.29709,1.42516,1.84604,1.67301,0.0003515,0.0003515,0.0003515
20,194.859,1.0869,0.94411,1.38194,0.56682,0.56434,0.54672,0.30691,1.41307,1.85261,1.66089,0.00034325,0.00034325,0.00034325
21,202.602,1.0613,0.99118,1.38055,0.51323,0.53992,0.52179,0.30024,1.39129,1.86402,1.64552,0.000335,0.000335,0.000335
22,211.67,0.98494,0.98347,1.35132,0.74222,0.43413,0.52868,0.29914,1.40375,1.8899,1.64782,0.00032675,0.00032675,0.00032675
23,219.375,0.98459,0.88599,1.31677,0.74065,0.42683,0.52894,0.29253,1.37459,1.91096,1.62773,0.0003185,0.0003185,0.0003185
24,228.612,0.99475,0.80708,1.37236,0.76855,0.43307,0.51585,0.30295,1.34285,1.89169,1.6141,0.00031025,0.00031025,0.00031025
25,237.921,0.9559,0.80478,1.2295,0.75539,0.43267,0.51379,0.31115,1.34687,1.89339,1.60485,0.000302,0.000302,0.000302
26,246.945,0.92126,0.7539,1.2606,0.73139,0.4417,0.50059,0.2996,1.34918,1.89641,1.5945,0.00029375,0.00029375,0.00029375
27,254.795,0.86854,0.7531,1.23528,0.7177,0.44222,0.50196,0.2973,1.3489,1.8382,1.59283,0.0002855,0.0002855,0.0002855
28,262.761,0.85776,0.73312,1.23238,0.72543,0.42202,0.49898,0.29906,1.34832,1.81342,1.58507,0.00027725,0.00027725,0.00027725
29,271.794,0.85156,0.72432,1.23437,0.73032,0.42965,0.49666,0.29527,1.33625,1.81396,1.57584,0.000269,0.000269,0.000269
30,280.853,0.8813,0.67402,1.25979,0.75489,0.42464,0.47994,0.29589,1.36439,1.72012,1.5906,0.00026075,0.00026075,0.00026075
31,288.343,0.81761,0.67076,1.19009,0.78681,0.42205,0.47461,0.29598,1.37238,1.7269,1.60521,0.0002525,0.0002525,0.0002525
32,297.435,0.80925,0.6478,1.15752,0.80319,0.41692,0.47762,0.29513,1.36887,1.74309,1.61935,0.00024425,0.00024425,0.00024425
33,305.81,0.81953,0.652,1.20191,0.80013,0.40795,0.48806,0.29842,1.35836,1.74896,1.61842,0.000236,0.000236,0.000236
34,314.509,0.81983,0.64102,1.17227,0.77226,0.40889,0.50022,0.30937,1.3694,1.73922,1.62913,0.00022775,0.00022775,0.00022775
35,323.546,0.81176,0.67547,1.17185,0.78053,0.40306,0.50207,0.31262,1.37281,1.71177,1.63058,0.0002195,0.0002195,0.0002195
36,331.735,0.81643,0.67293,1.1621,0.78373,0.40188,0.49847,0.31125,1.37344,1.70073,1.63761,0.00021125,0.00021125,0.00021125
37,338.796,0.76553,0.61708,1.15279,0.78187,0.40319,0.49697,0.30874,1.38822,1.69122,1.65572,0.000203,0.000203,0.000203
