epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6417,1.02447,2.38784,1.18202,0.68901,0.55712,0.59119,0.3977,0.99325,3.1262,1.1755,0.00018564,0.00018564,0.00018564
2,57.9792,0.97911,1.27635,1.15145,0.56325,0.49332,0.4785,0.29838,1.13852,5.62097,1.3692,0.000374674,0.000374674,0.000374674
3,81.9892,1.00924,1.17379,1.16531,0.45052,0.37456,0.29484,0.14605,1.58233,inf,1.81687,0.00055989,0.00055989,0.00055989
4,108.429,1.10023,1.22131,1.23047,0.51896,0.44342,0.36292,0.19772,1.52069,27.5824,1.8401,0.000692794,0.000692794,0.000692794
5,132.831,1.06201,1.1236,1.22654,0.49808,0.44999,0.42131,0.23558,1.46046,3.7659,1.74176,0.000685726,0.000685726,0.000685726
6,158.128,1.06043,1.08299,1.20821,0.5456,0.49662,0.482,0.28119,1.3103,3.55759,1.55719,0.000678657,0.000678657,0.000678657
7,187.049,1.01691,0.96652,1.19044,0.65532,0.5548,0.56101,0.33095,1.22959,2.95254,1.46856,0.000671588,0.000671588,0.000671588
8,212.988,0.99758,0.91804,1.17046,0.71149,0.53087,0.5639,0.33522,1.20262,1.80009,1.42431,0.00066452,0.00066452,0.00066452
9,233.724,0.97252,0.86691,1.16263,0.76385,0.57536,0.61651,0.3817,1.15663,1.10891,1.34928,0.000657451,0.000657451,0.000657451
10,259.32,0.96481,0.86963,1.16584,0.66088,0.53369,0.55119,0.31352,1.31217,1.45533,1.43134,0.000650383,0.000650383,0.000650383
11,292.205,0.95856,0.80262,1.1481,0.75222,0.56314,0.61705,0.38686,1.14193,1.65743,1.29544,0.000643314,0.000643314,0.000643314
12,315.409,0.90016,0.76469,1.10547,0.78381,0.57249,0.62275,0.39517,1.15716,1.12745,1.29951,0.000636245,0.000636245,0.000636245
13,336.088,0.90974,0.75194,1.10747,0.77993,0.57106,0.63162,0.39775,1.1262,1.07949,1.28297,0.000629177,0.000629177,0.000629177
14,390.296,0.89982,0.73636,1.09141,0.78485,0.59642,0.65863,0.40623,1.13153,0.9097,1.26931,0.000622108,0.000622108,0.000622108
15,444.785,0.88069,0.70085,1.09074,0.81457,0.59407,0.66195,0.43212,1.04844,0.88673,1.21981,0.00061504,0.00061504,0.00061504
16,502.575,0.87663,0.69253,1.09247,0.8176,0.59297,0.65925,0.43127,1.0326,0.90589,1.22461,0.000607971,0.000607971,0.000607971
17,557.524,0.86659,0.69023,1.08905,0.82118,0.59511,0.6572,0.42894,1.05574,0.87444,1.24202,0.000600902,0.000600902,0.000600902
18,614.11,0.85965,0.68209,1.08387,0.83361,0.58541,0.65684,0.44012,1.03346,0.91663,1.21905,0.000593834,0.000593834,0.000593834
19,675.218,0.82907,0.65958,1.06398,0.79521,0.58575,0.64907,0.40824,1.07211,0.92849,1.24977,0.000586765,0.000586765,0.000586765
20,733.844,0.81329,0.63058,1.05627,0.7928,0.6171,0.67116,0.42825,1.06663,0.8797,1.23424,0.000579697,0.000579697,0.000579697
21,787.878,0.81969,0.61634,1.05386,0.84317,0.62462,0.69508,0.46333,0.98396,0.76355,1.1797,0.000572628,0.000572628,0.000572628
22,835.682,0.80525,0.62473,1.05042,0.84968,0.61776,0.69202,0.44796,1.04785,0.76509,1.21608,0.000565559,0.000565559,0.000565559
23,856.463,0.80418,0.60825,1.0495,0.84832,0.6255,0.69576,0.44432,1.06555,0.76425,1.21094,0.000558491,0.000558491,0.000558491
24,876.935,0.8125,0.60632,1.04596,0.80644,0.59793,0.6545,0.42477,1.04414,0.85142,1.22042,0.000551422,0.000551422,0.000551422
25,897.902,0.77756,0.5788,1.03735,0.8535,0.62777,0.69352,0.46191,0.99628,0.77239,1.18582,0.000544354,0.000544354,0.000544354
26,919.858,0.77351,0.58168,1.03767,0.82908,0.61386,0.6725,0.43236,1.06616,0.77874,1.23399,0.000537285,0.000537285,0.000537285
27,944.713,0.74044,0.5505,1.0091,0.85012,0.63621,0.70094,0.46816,0.98025,0.74397,1.17572,0.000530216,0.000530216,0.000530216
28,994.415,0.74696,0.54104,1.03607,0.85889,0.6332,0.69789,0.46541,0.99108,0.75119,1.17592,0.000523148,0.000523148,0.000523148
29,1021.65,0.74299,0.56027,1.01011,0.84992,0.6265,0.69131,0.44501,1.01464,0.7551,1.19022,0.000516079,0.000516079,0.000516079
30,1045.9,0.74047,0.53456,1.00549,0.85712,0.63516,0.69705,0.45534,1.01761,0.73401,1.1838,0.000509011,0.000509011,0.000509011
31,1071.77,0.73552,0.52623,1.00574,0.85402,0.62176,0.69154,0.44753,1.03023,0.74277,1.18516,0.000501942,0.000501942,0.000501942
32,1098.48,0.73243,0.52324,0.99629,0.8535,0.63193,0.6981,0.45673,1.01651,0.73587,1.1836,0.000494873,0.000494873,0.000494873
33,1131.24,0.72591,0.51769,0.99976,0.86144,0.64325,0.71154,0.47493,0.98017,0.72674,1.18034,0.000487805,0.000487805,0.000487805
34,1168.25,0.71489,0.50653,0.99579,0.85353,0.63266,0.70354,0.46521,0.99337,0.71734,1.16485,0.000480736,0.000480736,0.000480736
35,1188.58,0.70274,0.5043,0.98616,0.86956,0.64129,0.7133,0.48127,0.97048,0.70203,1.17212,0.000473668,0.000473668,0.000473668
36,1211.75,0.70454,0.4993,0.97618,0.87403,0.63566,0.71287,0.47225,1.01034,0.69475,1.18483,0.000466599,0.000466599,0.000466599
37,1233.09,0.69916,0.49278,0.98258,0.86589,0.64395,0.71779,0.47868,0.98235,0.69259,1.17071,0.00045953,0.00045953,0.00045953
38,1253.71,0.68481,0.47967,0.9766,0.85994,0.65174,0.71534,0.49127,0.95174,0.66756,1.16619,0.000452462,0.000452462,0.000452462
39,1277.14,0.69072,0.48274,0.9762,0.85158,0.63797,0.7081,0.47757,0.96692,0.69776,1.16134,0.000445393,0.000445393,0.000445393
40,1297.25,0.68548,0.47537,0.97448,0.85949,0.64735,0.71871,0.47732,0.97518,0.68457,1.15793,0.000438325,0.000438325,0.000438325
41,1318.11,0.67871,0.47016,0.96418,0.87418,0.65289,0.7275,0.49718,0.92947,0.65824,1.14386,0.000431256,0.000431256,0.000431256
42,1339.92,0.66966,0.45316,0.96693,0.85644,0.65312,0.72363,0.49466,0.94224,0.66139,1.1474,0.000424187,0.000424187,0.000424187
43,1384.52,0.67601,0.45983,0.96763,0.85591,0.65319,0.72402,0.49362,0.94292,0.65386,1.14572,0.000417119,0.000417119,0.000417119
