epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3224,0.98079,1.47034,1.15767,0.75923,0.58923,0.64443,0.42446,0.99492,1.35419,1.18617,0.000235796,0.000235796,0.000235796
2,105.62,1.01263,0.97731,1.19001,0.66676,0.52863,0.57621,0.36171,1.16685,2.15983,1.34567,0.000469106,0.000469106,0.000469106
3,169.692,1.03435,0.95216,1.20897,0.67659,0.55642,0.58237,0.35993,1.14156,1.57853,1.2839,0.000697703,0.000697703,0.000697703
4,264.053,1.02455,0.88918,1.20131,0.76427,0.6058,0.65739,0.43573,1.04515,0.98178,1.23217,0.000692794,0.000692794,0.000692794
5,360.269,0.98496,0.82535,1.17411,0.82694,0.60008,0.66615,0.42809,1.04749,0.89531,1.20965,0.000685726,0.000685726,0.000685726
6,452.944,0.95485,0.77449,1.15119,0.8493,0.62213,0.68971,0.45269,1.01608,0.78605,1.19126,0.000678657,0.000678657,0.000678657
7,548.229,0.92924,0.75075,1.14317,0.87334,0.62954,0.70132,0.47624,0.96279,0.72768,1.15493,0.000671588,0.000671588,0.000671588
8,644.573,0.90851,0.69056,1.11957,0.84945,0.64788,0.70699,0.48179,0.95941,0.72557,1.14711,0.00066452,0.00066452,0.00066452
9,731.567,0.88912,0.68326,1.11398,0.87914,0.6542,0.72466,0.50004,0.9137,0.66559,1.11718,0.000657451,0.000657451,0.000657451
10,794.951,0.86778,0.65535,1.09272,0.86663,0.6557,0.72262,0.48875,0.96458,0.66882,1.12811,0.000650383,0.000650383,0.000650383
11,841.371,0.86083,0.63316,1.09556,0.88772,0.65607,0.73119,0.49832,0.89785,0.62948,1.09455,0.000643314,0.000643314,0.000643314
12,888.22,0.84543,0.61504,1.07328,0.89062,0.66519,0.73926,0.51355,0.87403,0.60937,1.09194,0.000636245,0.000636245,0.000636245
13,946.779,0.82869,0.59156,1.06964,0.89559,0.67035,0.74824,0.51519,0.87158,0.61292,1.08118,0.000629177,0.000629177,0.000629177
14,1023.9,0.8193,0.5823,1.06143,0.89234,0.679,0.75441,0.54298,0.82949,0.57225,1.0659,0.000622108,0.000622108,0.000622108
15,1100.58,0.80531,0.55854,1.05304,0.8787,0.67734,0.74622,0.53425,0.84659,0.58807,1.0663,0.00061504,0.00061504,0.00061504
16,1148.23,0.79913,0.5593,1.04683,0.89584,0.68034,0.75543,0.52244,0.86356,0.57272,1.0813,0.000607971,0.000607971,0.000607971
17,1194.75,0.78903,0.55065,1.03654,0.88865,0.68556,0.75537,0.53078,0.8407,0.57616,1.05903,0.000600902,0.000600902,0.000600902
18,1274.79,0.78281,0.53837,1.04245,0.90784,0.68873,0.76734,0.55286,0.84815,0.54015,1.07105,0.000593834,0.000593834,0.000593834
19,1367.48,0.77841,0.52949,1.02834,0.88848,0.69776,0.76526,0.54457,0.84338,0.53432,1.05703,0.000586765,0.000586765,0.000586765
20,1459.81,0.76294,0.51663,1.02075,0.89821,0.69764,0.76614,0.54551,0.82375,0.53638,1.05032,0.000579697,0.000579697,0.000579697
21,1551.94,0.76106,0.51052,1.02658,0.90902,0.69269,0.76839,0.54822,0.84149,0.53952,1.05489,0.000572628,0.000572628,0.000572628
22,1643.95,0.75476,0.50481,1.01928,0.89768,0.70724,0.77343,0.54666,0.82427,0.52102,1.04702,0.000565559,0.000565559,0.000565559
23,1735.13,0.75495,0.50352,1.02001,0.88716,0.69811,0.76658,0.54357,0.85265,0.54615,1.06129,0.000558491,0.000558491,0.000558491
24,1816.38,0.73752,0.49648,1.01426,0.89804,0.7041,0.77341,0.55532,0.80452,0.50722,1.04605,0.000551422,0.000551422,0.000551422
25,1882.18,0.73367,0.48458,1.00743,0.9016,0.70333,0.77119,0.54527,0.80979,0.5048,1.04086,0.000544354,0.000544354,0.000544354
26,1927.69,0.72691,0.47316,1.00038,0.91595,0.701,0.77359,0.55972,0.79748,0.49923,1.03098,0.000537285,0.000537285,0.000537285
27,1986.83,0.7279,0.47247,0.9996,0.90429,0.69977,0.7728,0.55134,0.7974,0.50059,1.03308,0.000530216,0.000530216,0.000530216
28,2043.23,0.71299,0.46825,0.99099,0.89666,0.70894,0.77313,0.56003,0.79983,0.50611,1.03638,0.000523148,0.000523148,0.000523148
29,2105.69,0.71556,0.46876,0.99522,0.91295,0.70795,0.78548,0.57018,0.77186,0.48693,1.02391,0.000516079,0.000516079,0.000516079
30,2179.72,0.70591,0.45524,0.98162,0.91944,0.70363,0.77819,0.55713,0.80172,0.49165,1.03824,0.000509011,0.000509011,0.000509011
31,2227.69,0.70082,0.45532,0.98273,0.91642,0.71762,0.78504,0.56763,0.77844,0.47794,1.02415,0.000501942,0.000501942,0.000501942
32,2273.67,0.69267,0.44324,0.97621,0.90068,0.70163,0.77031,0.54855,0.81146,0.49246,1.02972,0.000494873,0.000494873,0.000494873
33,2320.21,0.69734,0.44622,0.97938,0.90949,0.7086,0.77849,0.55925,0.7828,0.48482,1.02147,0.000487805,0.000487805,0.000487805
34,2408.09,0.69468,0.43949,0.98217,0.91222,0.70596,0.78002,0.56192,0.78426,0.47842,1.02733,0.000480736,0.000480736,0.000480736
35,2484.47,0.69044,0.4359,0.97703,0.90216,0.7211,0.78893,0.58056,0.75641,0.46297,1.01036,0.000473668,0.000473668,0.000473668
36,2532.92,0.68171,0.42894,0.96749,0.91674,0.72213,0.79204,0.57318,0.79614,0.47241,1.02593,0.000466599,0.000466599,0.000466599
37,2579.19,0.67399,0.43044,0.97279,0.91362,0.72681,0.79312,0.57492,0.77439,0.46815,1.01993,0.00045953,0.00045953,0.00045953
38,2636.51,0.67681,0.42428,0.96107,0.91519,0.72342,0.79223,0.58807,0.74356,0.45844,1.00657,0.000452462,0.000452462,0.000452462
39,2702.51,0.67039,0.41536,0.96122,0.91685,0.72117,0.79692,0.57095,0.79571,0.45879,1.02148,0.000445393,0.000445393,0.000445393
40,2757.62,0.66627,0.41909,0.95973,0.91199,0.72195,0.78698,0.56751,0.78498,0.45727,1.01945,0.000438325,0.000438325,0.000438325
41,2804.02,0.66091,0.40969,0.95712,0.91102,0.71667,0.78806,0.57643,0.75514,0.45191,1.009,0.000431256,0.000431256,0.000431256
42,2850.36,0.65612,0.40858,0.95473,0.91132,0.7201,0.79128,0.58232,0.75611,0.45855,1.01233,0.000424187,0.000424187,0.000424187
43,2896.62,0.65938,0.41089,0.95477,0.91333,0.7231,0.79156,0.57573,0.78625,0.45745,1.01351,0.000417119,0.000417119,0.000417119
44,2943.47,0.65416,0.40277,0.94961,0.9064,0.72642,0.79327,0.57947,0.76482,0.45015,1.01025,0.00041005,0.00041005,0.00041005
45,3001.74,0.64638,0.39822,0.94821,0.90657,0.72355,0.79287,0.5715,0.80029,0.45676,1.02279,0.000402982,0.000402982,0.000402982
46,3074.3,0.63586,0.38888,0.94636,0.92473,0.73057,0.80355,0.59282,0.74233,0.43251,1.00345,0.000395913,0.000395913,0.000395913
47,3150.14,0.63539,0.38958,0.94159,0.92552,0.72294,0.79088,0.57788,0.76851,0.44093,1.01982,0.000388844,0.000388844,0.000388844
48,3221.3,0.63411,0.39015,0.94138,0.90784,0.73429,0.80007,0.58373,0.75546,0.4459,1.01061,0.000381776,0.000381776,0.000381776
49,3292.23,0.63213,0.38765,0.94014,0.91032,0.72861,0.7958,0.57614,0.76498,0.44314,1.01367,0.000374707,0.000374707,0.000374707
50,3364.73,0.62702,0.3828,0.94103,0.91113,0.72483,0.79497,0.57477,0.7729,0.43993,1.01767,0.000367639,0.000367639,0.000367639
51,3436.21,0.63105,0.38448,0.93734,0.92227,0.72511,0.79349,0.57581,0.753,0.43643,1.00939,0.00036057,0.00036057,0.00036057
52,3507.46,0.6197,0.37423,0.93685,0.91431,0.73931,0.8051,0.5879,0.75264,0.43169,1.0119,0.000353501,0.000353501,0.000353501
53,3580.72,0.62018,0.37206,0.93668,0.91383,0.74305,0.80673,0.58717,0.77367,0.42935,1.01118,0.000346433,0.000346433,0.000346433
54,3652.73,0.61551,0.37001,0.93285,0.91375,0.73089,0.7991,0.57519,0.76231,0.43442,1.00588,0.000339364,0.000339364,0.000339364
55,3724.52,0.60861,0.36402,0.92363,0.92126,0.73405,0.80239,0.59357,0.72798,0.41998,0.9968,0.000332296,0.000332296,0.000332296
56,3797.3,0.60931,0.3616,0.92433,0.91513,0.73866,0.80461,0.58615,0.75419,0.4291,1.01245,0.000325227,0.000325227,0.000325227
57,3867.56,0.60682,0.35709,0.92333,0.92973,0.73456,0.80751,0.59472,0.74306,0.40998,1.00307,0.000318158,0.000318158,0.000318158
58,3941.12,0.60229,0.35115,0.92519,0.91786,0.72658,0.79919,0.56602,0.79419,0.42976,1.02153,0.00031109,0.00031109,0.00031109
59,4006.59,0.59629,0.3501,0.91729,0.91168,0.73426,0.80274,0.58391,0.76382,0.42393,1.01517,0.000304021,0.000304021,0.000304021
60,4072.94,0.59427,0.354,0.9184,0.91633,0.73423,0.80124,0.58431,0.75153,0.41769,1.00363,0.000296953,0.000296953,0.000296953
61,4144.7,0.58392,0.3441,0.90498,0.92206,0.73867,0.80686,0.58561,0.75627,0.41994,1.00302,0.000289884,0.000289884,0.000289884
62,4226.15,0.58144,0.34144,0.90902,0.92095,0.73927,0.80922,0.59258,0.73836,0.41192,0.99326,0.000282815,0.000282815,0.000282815
63,4298.52,0.58453,0.34073,0.90995,0.91614,0.73992,0.80829,0.59241,0.74604,0.41258,1.00146,0.000275747,0.000275747,0.000275747
64,4369.86,0.58684,0.34339,0.90998,0.92403,0.74229,0.81188,0.59537,0.74506,0.40631,0.99832,0.000268678,0.000268678,0.000268678
65,4444.14,0.5823,0.33829,0.90809,0.92299,0.74081,0.80913,0.59311,0.7409,0.40914,1.00542,0.00026161,0.00026161,0.00026161
66,4516.5,0.57164,0.3372,0.90501,0.91879,0.74179,0.80632,0.59153,0.74851,0.40156,1.01431,0.000254541,0.000254541,0.000254541
67,4588.1,0.56234,0.32817,0.9034,0.92903,0.74155,0.81173,0.59465,0.74231,0.40025,1.00153,0.000247472,0.000247472,0.000247472
68,4660.66,0.56827,0.32807,0.89722,0.92407,0.75072,0.81677,0.60621,0.73072,0.39061,0.99638,0.000240404,0.000240404,0.000240404
69,4733.58,0.56047,0.32078,0.89778,0.9235,0.74799,0.81498,0.59528,0.74176,0.39868,1.00513,0.000233335,0.000233335,0.000233335
70,4803.53,0.55798,0.32243,0.89899,0.92636,0.74223,0.81028,0.5883,0.76551,0.39994,1.00983,0.000226267,0.000226267,0.000226267
71,4874.71,0.55054,0.31625,0.89411,0.91948,0.74308,0.80898,0.58892,0.75428,0.39942,1.00942,0.000219198,0.000219198,0.000219198
72,4941.53,0.55177,0.31568,0.89871,0.92489,0.74458,0.81076,0.59693,0.73925,0.39322,1.00281,0.000212129,0.000212129,0.000212129
73,5013.99,0.54445,0.31357,0.89272,0.92102,0.74449,0.81285,0.597,0.7432,0.39202,1.00226,0.000205061,0.000205061,0.000205061
74,5087.42,0.54321,0.31083,0.89164,0.92797,0.74492,0.81344,0.59664,0.73866,0.39048,1.00097,0.000197992,0.000197992,0.000197992
75,5155.22,0.53829,0.30728,0.888,0.92121,0.74684,0.81446,0.59922,0.73532,0.39299,0.99872,0.000190924,0.000190924,0.000190924
76,5201.81,0.53071,0.30548,0.88569,0.91551,0.75264,0.81584,0.59983,0.73946,0.39384,1.00351,0.000183855,0.000183855,0.000183855
77,5248.99,0.53535,0.30529,0.88297,0.92161,0.75041,0.81598,0.60075,0.73515,0.39079,0.997,0.000176786,0.000176786,0.000176786
78,5295.28,0.53327,0.30074,0.88753,0.92592,0.75026,0.81419,0.59841,0.74138,0.38817,1.00647,0.000169718,0.000169718,0.000169718
79,5348.57,0.52483,0.29745,0.8771,0.92652,0.7456,0.81122,0.59255,0.7488,0.38933,1.01178,0.000162649,0.000162649,0.000162649
80,5404.29,0.52104,0.29477,0.87836,0.92491,0.75201,0.81815,0.59771,0.74466,0.38605,1.00517,0.000155581,0.000155581,0.000155581
81,5462.71,0.52228,0.29532,0.87531,0.92659,0.75062,0.81761,0.60542,0.72767,0.3805,0.99793,0.000148512,0.000148512,0.000148512
82,5519.56,0.51571,0.28885,0.87888,0.92518,0.75339,0.81693,0.60451,0.73042,0.37975,1.00319,0.000141443,0.000141443,0.000141443
83,5566.46,0.51162,0.28782,0.87257,0.92545,0.74898,0.81582,0.59842,0.74008,0.38289,1.00496,0.000134375,0.000134375,0.000134375
84,5614.04,0.50459,0.28219,0.87282,0.92822,0.75445,0.81978,0.60805,0.72901,0.37591,1.00323,0.000127306,0.000127306,0.000127306
85,5662.63,0.50838,0.2873,0.87524,0.9253,0.7529,0.81989,0.60313,0.73571,0.37873,1.00298,0.000120238,0.000120238,0.000120238
86,5709.8,0.50072,0.28025,0.87058,0.92573,0.75456,0.82018,0.60476,0.73218,0.37905,1.00406,0.000113169,0.000113169,0.000113169
87,5765.63,0.49374,0.27607,0.86579,0.92986,0.75207,0.81862,0.60209,0.73512,0.37661,1.00682,0.0001061,0.0001061,0.0001061
88,5813.79,0.48987,0.27444,0.86657,0.93477,0.75369,0.81827,0.60637,0.72982,0.37413,1.00084,9.90318e-05,9.90318e-05,9.90318e-05
89,5865.66,0.48946,0.27523,0.86487,0.93033,0.74911,0.81668,0.60292,0.73406,0.37694,1.00838,9.19632e-05,9.19632e-05,9.19632e-05
90,5915.34,0.48839,0.27227,0.86463,0.92716,0.75445,0.81815,0.60382,0.73511,0.3754,1.00515,8.48946e-05,8.48946e-05,8.48946e-05
91,5975.41,0.48186,0.27071,0.86425,0.92449,0.75128,0.81416,0.5956,0.74588,0.37681,1.01009,7.7826e-05,7.7826e-05,7.7826e-05
92,6022.46,0.47854,0.26898,0.85959,0.93414,0.74999,0.81795,0.60228,0.73619,0.3727,1.00766,7.07574e-05,7.07574e-05,7.07574e-05
93,6070.23,0.47326,0.26608,0.85778,0.92683,0.75374,0.81936,0.60452,0.73689,0.37283,1.01151,6.36888e-05,6.36888e-05,6.36888e-05
94,6117.13,0.47398,0.2666,0.85692,0.92944,0.75619,0.82089,0.60389,0.73331,0.36958,1.00838,5.66202e-05,5.66202e-05,5.66202e-05
95,6163.59,0.47048,0.26419,0.85462,0.9277,0.75826,0.82193,0.60703,0.72895,0.36736,1.00971,4.95516e-05,4.95516e-05,4.95516e-05
96,6210.15,0.46561,0.26052,0.84883,0.93008,0.75455,0.8219,0.60539,0.72965,0.36882,1.01066,4.2483e-05,4.2483e-05,4.2483e-05
97,6257.23,0.46732,0.25938,0.85417,0.92905,0.75782,0.82238,0.60894,0.7247,0.36433,1.00813,3.54144e-05,3.54144e-05,3.54144e-05
98,6305.89,0.46151,0.25664,0.85414,0.92753,0.75512,0.8196,0.60724,0.72757,0.36551,1.01086,2.83458e-05,2.83458e-05,2.83458e-05
99,6352.39,0.461,0.25669,0.85337,0.92711,0.75553,0.82016,0.60743,0.72758,0.36533,1.01061,2.12772e-05,2.12772e-05,2.12772e-05
100,6398.91,0.46212,0.25746,0.85397,0.92731,0.7546,0.81849,0.60539,0.72979,0.36534,1.01089,1.42086e-05,1.42086e-05,1.42086e-05
