epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3202,0.90457,1.50951,1.14291,0.73138,0.53139,0.58301,0.38083,1.04642,1.92243,1.19708,0.000234694,0.000234694,0.000234694
2,83.2431,0.91772,0.90717,1.13757,0.65697,0.47438,0.51508,0.31991,1.17531,2.6554,1.33899,0.000468015,0.000468015,0.000468015
3,124.377,0.95685,0.8973,1.17553,0.61019,0.50648,0.51768,0.32476,1.19761,3.20692,1.44541,0.000696623,0.000696623,0.000696623
4,169.3,0.96128,0.86364,1.18173,0.74434,0.52263,0.57458,0.36284,1.16715,1.38452,1.36829,0.000692794,0.000692794,0.000692794
5,206.663,0.91489,0.75546,1.14231,0.71227,0.52841,0.58322,0.38242,1.11772,1.17491,1.28808,0.000685726,0.000685726,0.000685726
6,245.784,0.89428,0.72106,1.12797,0.76283,0.55124,0.60871,0.40808,1.12247,1.06002,1.27806,0.000678657,0.000678657,0.000678657
7,284.326,0.87611,0.7097,1.12566,0.75005,0.54857,0.59683,0.37755,1.10375,1.00611,1.25932,0.000671588,0.000671588,0.000671588
8,321.802,0.85392,0.67059,1.10404,0.7907,0.57545,0.62834,0.42714,1.01761,0.91622,1.21778,0.00066452,0.00066452,0.00066452
9,365.999,0.84636,0.63707,1.09769,0.72995,0.51473,0.55406,0.35699,1.16161,1.21933,1.30288,0.000657451,0.000657451,0.000657451
10,402.7,0.83033,0.62831,1.0934,0.78247,0.54809,0.60882,0.42547,1.01827,0.98641,1.23389,0.000650383,0.000650383,0.000650383
11,439.447,0.80276,0.61611,1.07563,0.81426,0.54822,0.60658,0.41552,1.07117,0.96898,1.25018,0.000643314,0.000643314,0.000643314
12,477.427,0.78912,0.58644,1.0663,0.76933,0.56359,0.62628,0.42106,1.02387,0.93873,1.20542,0.000636245,0.000636245,0.000636245
13,515.4,0.77112,0.56039,1.0622,0.82026,0.55585,0.62953,0.43382,0.99168,0.91492,1.21015,0.000629177,0.000629177,0.000629177
14,553.957,0.77122,0.55273,1.05359,0.82144,0.5753,0.63318,0.44062,0.98957,0.87753,1.23239,0.000622108,0.000622108,0.000622108
15,591.817,0.7633,0.53604,1.05588,0.78357,0.55988,0.6176,0.41483,1.05121,0.91459,1.23019,0.00061504,0.00061504,0.00061504
16,629.38,0.7501,0.52902,1.0426,0.78621,0.55266,0.62153,0.41735,1.01456,0.91885,1.20453,0.000607971,0.000607971,0.000607971
17,676.463,0.73806,0.52482,1.03819,0.82003,0.58483,0.645,0.44001,0.9718,0.84257,1.1995,0.000600902,0.000600902,0.000600902
18,737.099,0.72825,0.51536,1.03599,0.7756,0.57712,0.63195,0.43589,1.01416,0.89273,1.20189,0.000593834,0.000593834,0.000593834
19,788.536,0.72041,0.49684,1.02494,0.78262,0.58,0.64053,0.43763,1.02435,0.91558,1.23705,0.000586765,0.000586765,0.000586765
20,840.152,0.7205,0.49843,1.02234,0.76948,0.56333,0.63104,0.43648,1.00984,0.93657,1.20817,0.000579697,0.000579697,0.000579697
21,882.283,0.70734,0.47812,1.00738,0.8164,0.58747,0.65186,0.46629,0.96443,0.83082,1.18838,0.000572628,0.000572628,0.000572628
22,922.675,0.70972,0.47619,1.01422,0.78599,0.5568,0.62513,0.42672,1.0355,0.95113,1.22705,0.000565559,0.000565559,0.000565559
23,962.928,0.70477,0.48015,1.01353,0.77069,0.58801,0.64047,0.44222,0.983,0.90727,1.20333,0.000558491,0.000558491,0.000558491
24,1000.3,0.68842,0.46641,1.00636,0.81642,0.58911,0.65144,0.45334,0.97138,0.83483,1.19719,0.000551422,0.000551422,0.000551422
25,1037.9,0.68275,0.45129,1.00451,0.81569,0.57838,0.63864,0.43071,1.01319,0.84542,1.22022,0.000544354,0.000544354,0.000544354
26,1074.66,0.68051,0.4562,0.98896,0.81144,0.61788,0.66871,0.4705,0.94706,0.77533,1.17915,0.000537285,0.000537285,0.000537285
27,1113.09,0.67705,0.45257,0.99564,0.79639,0.56306,0.62761,0.44166,0.97136,0.87817,1.17729,0.000530216,0.000530216,0.000530216
