epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,345.097,0.83265,0.96405,1.04626,0.89798,0.68925,0.7625,0.5387,0.81705,0.55782,0.99047,0.00998452,0.00332817,0.00998452,0.00332817,0.00998452,0.00332817,0.00998452,0.00332817
2,671.144,0.85218,0.61024,1.05037,0.89095,0.65161,0.72554,0.51377,0.86548,0.62765,1.05223,0.0197867,0.00659556,0.0197867,0.00659556,0.0197867,0.00659556,0.0197867,0.00659556
3,926.252,0.91655,0.67255,1.09923,0.80623,0.61441,0.68279,0.46555,0.94291,0.75328,1.11374,0.0293908,0.00979694,0.0293908,0.00979694,0.0293908,0.00979694,0.0293908,0.00979694
4,1169.63,0.92825,0.67727,1.11598,0.90422,0.66475,0.73498,0.51714,0.85608,0.58775,1.05822,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1437.52,0.87568,0.6083,1.08083,0.90559,0.67797,0.75325,0.52872,0.83314,0.54584,1.03498,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1681.86,0.84131,0.56258,1.06046,0.90869,0.69134,0.77072,0.54654,0.81262,0.51044,1.02101,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1930.11,0.81331,0.5302,1.04505,0.91879,0.70478,0.7779,0.56901,0.77731,0.47925,1.00165,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2173.74,0.79221,0.50493,1.02834,0.90887,0.70897,0.78095,0.56939,0.75602,0.4592,0.98845,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2418.78,0.77877,0.49294,1.02109,0.92457,0.7043,0.78523,0.57661,0.75231,0.45885,0.98316,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2699.63,0.76469,0.47502,1.01023,0.91788,0.71573,0.78817,0.56996,0.76327,0.44602,0.9845,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2946.94,0.74964,0.46172,0.99942,0.92645,0.71362,0.79113,0.58531,0.72469,0.43515,0.97011,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3195.84,0.73847,0.45282,0.99368,0.93641,0.73683,0.81122,0.6086,0.70763,0.41697,0.95381,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
