epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5699,1.21599,3.70135,1.23037,0.02,0.43019,0.10653,0.07817,1.05156,3.60823,1.02346,0.00018564,0.00018564,0.00018564
2,50.23,1.14614,2.39624,1.20897,0.64307,0.18331,0.29146,0.1961,1.14412,2.6974,1.091,0.000375298,0.000375298,0.000375298
3,67.2127,1.07295,1.59363,1.15288,0.75796,0.29901,0.49511,0.32613,1.15477,2.08261,1.11244,0.000561775,0.000561775,0.000561775
4,83.9899,1.04607,1.32508,1.14109,0.71415,0.48913,0.55686,0.3628,1.13801,1.5626,1.13589,0.000696328,0.000696328,0.000696328
5,101.662,1.02273,1.21757,1.13884,0.76316,0.51452,0.58308,0.38591,1.10918,1.30674,1.1372,0.000690438,0.000690438,0.000690438
6,119.395,0.98538,1.15272,1.10295,0.741,0.52628,0.59026,0.39368,1.08547,1.34009,1.13599,0.000684548,0.000684548,0.000684548
7,135.57,0.99191,1.1009,1.1124,0.74899,0.55458,0.62063,0.40883,1.07972,1.1716,1.11542,0.000678657,0.000678657,0.000678657
8,152.729,0.98497,1.04934,1.09528,0.80104,0.5593,0.62915,0.40364,1.122,1.07852,1.11185,0.000672767,0.000672767,0.000672767
9,170.206,0.94052,0.98143,1.07361,0.83225,0.58168,0.65391,0.43759,1.05276,1.01561,1.09838,0.000666876,0.000666876,0.000666876
10,187.59,0.95176,0.96011,1.07006,0.82721,0.57415,0.63998,0.41992,1.08742,1.03381,1.11861,0.000660986,0.000660986,0.000660986
11,204.351,0.91632,0.9456,1.06746,0.8207,0.56621,0.63764,0.41571,1.07589,1.05953,1.11243,0.000655095,0.000655095,0.000655095
12,221.535,0.88359,0.91183,1.05175,0.81419,0.59324,0.65943,0.43994,1.01487,0.93043,1.06739,0.000649204,0.000649204,0.000649204
13,238.984,0.88078,0.89615,1.04963,0.85077,0.5998,0.66698,0.43789,1.03136,0.903,1.07247,0.000643314,0.000643314,0.000643314
14,256.655,0.89656,0.8867,1.04721,0.83188,0.59808,0.66434,0.43706,1.02402,0.92144,1.07814,0.000637423,0.000637423,0.000637423
15,273.455,0.86525,0.89179,1.04904,0.8472,0.5982,0.66903,0.44931,0.9954,0.91309,1.06229,0.000631533,0.000631533,0.000631533
16,291.233,0.88412,0.86177,1.0223,0.83701,0.59577,0.66201,0.43607,1.01571,0.90432,1.07566,0.000625642,0.000625642,0.000625642
17,307.874,0.85196,0.82739,1.01893,0.83257,0.59493,0.66449,0.4353,1.02831,0.90958,1.08394,0.000619752,0.000619752,0.000619752
18,324.899,0.86372,0.85111,1.03846,0.80787,0.59315,0.66148,0.4348,1.04918,0.90203,1.09768,0.000613862,0.000613862,0.000613862
19,342.058,0.83672,0.80648,1.02227,0.84336,0.6045,0.67777,0.43994,1.02845,0.86583,1.07025,0.000607971,0.000607971,0.000607971
20,359.547,0.81529,0.77166,1.00188,0.84062,0.60629,0.67434,0.44118,1.02275,0.84405,1.06758,0.000602081,0.000602081,0.000602081
21,376.152,0.82238,0.78543,1.01426,0.83541,0.60723,0.68095,0.45152,1.00712,0.85308,1.06998,0.00059619,0.00059619,0.00059619
22,393.841,0.82647,0.76946,1.00256,0.83039,0.61804,0.67979,0.44081,1.01881,0.89874,1.07555,0.0005903,0.0005903,0.0005903
23,411.127,0.81422,0.75441,1.00234,0.85224,0.60981,0.68268,0.44778,1.02918,0.86747,1.08136,0.000584409,0.000584409,0.000584409
24,427.79,0.79299,0.74576,0.99442,0.84063,0.61422,0.68253,0.44501,1.02889,0.84966,1.08096,0.000578519,0.000578519,0.000578519
25,444.713,0.79336,0.72692,0.99133,0.86741,0.62467,0.69793,0.46815,0.98754,0.79529,1.05164,0.000572628,0.000572628,0.000572628
26,462.112,0.79619,0.73674,0.99776,0.86773,0.61423,0.68385,0.45005,1.00195,0.81669,1.05073,0.000566737,0.000566737,0.000566737
27,479.468,0.80295,0.72844,1.01115,0.81621,0.62609,0.68145,0.44801,1.00952,0.83321,1.0686,0.000560847,0.000560847,0.000560847
28,496.019,0.79309,0.71059,0.9903,0.8425,0.6228,0.6928,0.45396,1.03033,0.81168,1.09494,0.000554956,0.000554956,0.000554956
29,513.363,0.77841,0.69769,0.99484,0.87135,0.62124,0.69669,0.46993,0.9664,0.75524,1.04825,0.000549066,0.000549066,0.000549066
30,530.416,0.77396,0.69038,0.99418,0.84863,0.62374,0.69696,0.46107,0.99156,0.7819,1.05548,0.000543175,0.000543175,0.000543175
31,547.885,0.76641,0.68009,0.97515,0.87021,0.62473,0.69827,0.47035,0.97498,0.7569,1.05599,0.000537285,0.000537285,0.000537285
