epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.035,1.14965,2.57205,1.19198,0.80722,0.45348,0.56659,0.39095,1.08319,1.69058,1.06846,0.000235796,0.000235796,0.000235796
2,144.638,1.03581,1.22531,1.13647,0.82337,0.58295,0.64512,0.42961,1.04155,1.06516,1.04522,0.000469887,0.000469887,0.000469887
3,182.157,1.0178,1.08103,1.12076,0.83316,0.61169,0.6798,0.46278,0.9781,0.9339,1.04368,0.000700052,0.000700052,0.000700052
4,219.52,0.99209,0.99559,1.10438,0.84498,0.60557,0.67221,0.45798,1.00305,0.91243,1.04665,0.000696328,0.000696328,0.000696328
5,257.11,0.94057,0.91364,1.06715,0.86311,0.6255,0.69883,0.47205,0.972,0.81859,1.02413,0.000690438,0.000690438,0.000690438
6,294.965,0.93143,0.86484,1.06581,0.88519,0.63072,0.70648,0.49923,0.90238,0.74585,1.01067,0.000684548,0.000684548,0.000684548
7,332.46,0.92605,0.84885,1.06466,0.86763,0.64208,0.71358,0.49538,0.90648,0.74373,1.00691,0.000678657,0.000678657,0.000678657
8,369.823,0.91102,0.80251,1.05288,0.8886,0.64711,0.71919,0.48448,0.95954,0.71341,1.00957,0.000672767,0.000672767,0.000672767
9,407.111,0.90073,0.77955,1.0478,0.86202,0.64568,0.71223,0.48425,0.93958,0.74204,1.00853,0.000666876,0.000666876,0.000666876
10,444.498,0.87593,0.74189,1.04329,0.87747,0.64198,0.71396,0.4992,0.90148,0.69023,0.99618,0.000660986,0.000660986,0.000660986
11,481.75,0.88095,0.72894,1.04135,0.85789,0.65593,0.7226,0.50277,0.90596,0.67632,0.99834,0.000655095,0.000655095,0.000655095
12,518.906,0.85702,0.69558,1.02405,0.88279,0.66158,0.72508,0.49842,0.90263,0.67336,0.9958,0.000649204,0.000649204,0.000649204
13,555.882,0.856,0.69331,1.02413,0.89336,0.66068,0.73425,0.50447,0.9361,0.65406,0.99793,0.000643314,0.000643314,0.000643314
14,592.861,0.84615,0.67408,1.0154,0.89641,0.66294,0.73615,0.51082,0.88057,0.66019,0.981,0.000637423,0.000637423,0.000637423
15,629.942,0.84228,0.67091,1.02317,0.88842,0.64693,0.72856,0.50797,0.8955,0.63366,0.98446,0.000631533,0.000631533,0.000631533
16,667.751,0.83422,0.64965,1.01303,0.90219,0.66779,0.7424,0.52636,0.85872,0.61628,0.97239,0.000625642,0.000625642,0.000625642
17,704.855,0.83469,0.64768,1.0125,0.89073,0.65783,0.736,0.51598,0.87937,0.62918,0.98684,0.000619752,0.000619752,0.000619752
18,741.785,0.8372,0.64119,1.01591,0.89652,0.66651,0.73808,0.50798,0.88797,0.60597,0.97818,0.000613862,0.000613862,0.000613862
19,778.982,0.81711,0.62417,1.00331,0.88682,0.6691,0.7354,0.50774,0.86949,0.60885,0.97081,0.000607971,0.000607971,0.000607971
20,815.823,0.82377,0.61912,1.00487,0.90772,0.66979,0.74422,0.5203,0.88427,0.60368,0.98835,0.000602081,0.000602081,0.000602081
21,852.659,0.80118,0.6012,1.00047,0.8875,0.66542,0.74071,0.51912,0.84361,0.58773,0.9677,0.00059619,0.00059619,0.00059619
22,889.533,0.80623,0.60684,1.00071,0.90165,0.66993,0.74868,0.53296,0.82042,0.56847,0.95165,0.0005903,0.0005903,0.0005903
23,926.873,0.80477,0.59384,1.00099,0.89302,0.67493,0.74491,0.5194,0.88221,0.59305,0.98158,0.000584409,0.000584409,0.000584409
24,963.654,0.79824,0.59016,0.99798,0.89498,0.68587,0.7573,0.54832,0.81855,0.56164,0.95876,0.000578519,0.000578519,0.000578519
25,1000.55,0.79518,0.57918,0.99303,0.89092,0.6823,0.75543,0.54558,0.82041,0.55604,0.95601,0.000572628,0.000572628,0.000572628
26,1037.56,0.80243,0.59071,0.9987,0.8945,0.68462,0.75721,0.5408,0.84138,0.56149,0.96762,0.000566737,0.000566737,0.000566737
27,1074.68,0.78391,0.56882,0.99208,0.91187,0.68054,0.7566,0.53688,0.85643,0.56367,0.96182,0.000560847,0.000560847,0.000560847
28,1111.43,0.77931,0.5641,0.97964,0.8901,0.68074,0.7533,0.53423,0.85192,0.56682,0.9744,0.000554956,0.000554956,0.000554956
29,1148.18,0.78889,0.56483,0.98844,0.90058,0.67755,0.74945,0.5266,0.85191,0.55882,0.96461,0.000549066,0.000549066,0.000549066
30,1185.01,0.77046,0.54639,0.9819,0.91892,0.6893,0.76344,0.54232,0.84422,0.5359,0.96008,0.000543175,0.000543175,0.000543175
31,1221.71,0.78171,0.55201,0.97961,0.90427,0.68076,0.75801,0.54266,0.83991,0.54462,0.96397,0.000537285,0.000537285,0.000537285
