epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1161,1.1371,2.82934,1.1976,0.73822,0.18834,0.36175,0.2458,1.14344,2.6398,1.10465,0.000234694,0.000234694,0.000234694
2,100.993,1.0219,1.29345,1.1476,0.78861,0.51786,0.58825,0.40141,1.0613,1.39985,1.08767,0.000468795,0.000468795,0.000468795
3,129.176,0.98439,1.08041,1.12219,0.76609,0.52138,0.57782,0.36641,1.14403,1.22284,1.14004,0.000698968,0.000698968,0.000698968
4,156.841,0.92981,0.96291,1.08473,0.76749,0.53314,0.57576,0.38163,1.06704,1.20224,1.11958,0.000696328,0.000696328,0.000696328
5,184.643,0.90557,0.90544,1.06511,0.73848,0.5531,0.60877,0.41632,1.02454,1.04727,1.0922,0.000690438,0.000690438,0.000690438
6,212.563,0.87851,0.84721,1.05418,0.82743,0.56295,0.6315,0.41529,1.05166,0.96933,1.07081,0.000684548,0.000684548,0.000684548
7,240.486,0.86999,0.81739,1.04384,0.80856,0.54589,0.61516,0.40913,1.03413,1.00402,1.08927,0.000678657,0.000678657,0.000678657
8,268.533,0.8567,0.78102,1.04433,0.80187,0.57147,0.63273,0.43241,1.00961,0.95952,1.07478,0.000672767,0.000672767,0.000672767
9,296.524,0.85585,0.76871,1.03999,0.78685,0.54807,0.61484,0.41171,1.02506,0.97727,1.08625,0.000666876,0.000666876,0.000666876
10,324.071,0.84668,0.74701,1.03281,0.77495,0.57579,0.6349,0.42866,0.987,0.93344,1.07321,0.000660986,0.000660986,0.000660986
11,351.501,0.82575,0.71987,1.02795,0.85638,0.57437,0.65092,0.43895,1.00751,0.8875,1.05595,0.000655095,0.000655095,0.000655095
12,379.119,0.81346,0.705,1.02265,0.83215,0.5774,0.6424,0.4271,1.01768,0.88834,1.07627,0.000649204,0.000649204,0.000649204
13,406.835,0.80679,0.67474,1.012,0.82558,0.5872,0.64658,0.44331,0.98679,0.85075,1.07421,0.000643314,0.000643314,0.000643314
14,434.478,0.81475,0.66849,1.01929,0.7985,0.56909,0.62676,0.41776,1.01863,0.88195,1.0828,0.000637423,0.000637423,0.000637423
15,462.09,0.794,0.64601,1.01067,0.79041,0.57845,0.63795,0.43258,0.98114,0.84575,1.06821,0.000631533,0.000631533,0.000631533
16,489.582,0.78298,0.63401,1.00905,0.84139,0.58296,0.65545,0.44976,0.9612,0.81772,1.05041,0.000625642,0.000625642,0.000625642
17,517.166,0.77196,0.62666,1.00233,0.83847,0.58634,0.65678,0.46367,0.91777,0.81283,1.04766,0.000619752,0.000619752,0.000619752
18,544.712,0.7793,0.61849,0.99841,0.7709,0.56004,0.6178,0.41019,1.07642,0.91631,1.10868,0.000613862,0.000613862,0.000613862
19,572.008,0.7868,0.61403,1.00539,0.81454,0.57034,0.6449,0.43865,1.00739,0.86013,1.08122,0.000607971,0.000607971,0.000607971
20,600.103,0.77511,0.60561,1.00042,0.80899,0.58048,0.6419,0.4348,1.0033,0.86661,1.08622,0.000602081,0.000602081,0.000602081
21,627.99,0.75835,0.58482,0.99132,0.83377,0.58886,0.65563,0.44894,0.96273,0.80575,1.05753,0.00059619,0.00059619,0.00059619
22,655.417,0.75365,0.58082,0.98728,0.81821,0.57979,0.65151,0.4467,0.99551,0.8295,1.07343,0.0005903,0.0005903,0.0005903
23,682.649,0.74609,0.56538,0.98986,0.82928,0.56882,0.64561,0.45427,0.98711,0.83947,1.07327,0.000584409,0.000584409,0.000584409
24,709.824,0.74106,0.55567,0.98548,0.82699,0.57821,0.64338,0.44746,0.98384,0.8559,1.08293,0.000578519,0.000578519,0.000578519
25,737.25,0.73198,0.55395,0.97979,0.81749,0.58813,0.65019,0.44867,0.98787,0.83139,1.06873,0.000572628,0.000572628,0.000572628
26,764.617,0.74623,0.5577,0.99187,0.78334,0.57988,0.64032,0.43922,0.96656,0.83841,1.06441,0.000566737,0.000566737,0.000566737
27,792.09,0.74084,0.55049,0.98631,0.79059,0.57096,0.63424,0.43687,1.01265,0.85547,1.0981,0.000560847,0.000560847,0.000560847
28,819.423,0.73492,0.54268,0.9803,0.80646,0.5923,0.65626,0.45569,0.96114,0.78873,1.06218,0.000554956,0.000554956,0.000554956
29,846.827,0.73706,0.54786,0.98174,0.79744,0.57643,0.64056,0.44066,0.9786,0.8163,1.07278,0.000549066,0.000549066,0.000549066
30,874.115,0.72085,0.52718,0.97964,0.79097,0.59548,0.65368,0.44949,0.96033,0.82752,1.07021,0.000543175,0.000543175,0.000543175
