epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,577.751,1.05333,1.82372,1.14264,0.86918,0.62576,0.69105,0.47922,0.89767,0.82584,0.9905,0.00998452,0.00332817,0.00998452,0.00332817,0.00998452,0.00332817,0.00998452,0.00332817
2,822.971,0.97463,0.9352,1.07925,0.85629,0.61934,0.69104,0.46446,0.95342,0.79737,1.00866,0.0198196,0.00660655,0.0198196,0.00660655,0.0198196,0.00660655,0.0198196,0.00660655
3,1036.68,1.00151,0.87692,1.09243,0.86213,0.63571,0.706,0.47723,0.92257,0.74925,1.01271,0.0294898,0.00982993,0.0294898,0.00982993,0.0294898,0.00982993,0.0294898,0.00982993
4,1226.96,0.99948,0.81443,1.09133,0.87601,0.64225,0.71287,0.49368,0.92429,0.70447,1.01528,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,1417.15,0.95662,0.73317,1.07311,0.90449,0.6653,0.74803,0.5346,0.84243,0.59628,0.97214,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1607.2,0.92637,0.67987,1.05725,0.91126,0.67798,0.75775,0.5422,0.82448,0.55906,0.9636,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,1797.16,0.90525,0.64759,1.04384,0.91264,0.6748,0.75439,0.53158,0.86115,0.5697,0.96935,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1988.13,0.89296,0.62585,1.04048,0.92239,0.67815,0.76202,0.55254,0.8133,0.54283,0.95733,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,2178.03,0.87873,0.60685,1.03205,0.90075,0.69197,0.7639,0.54596,0.81522,0.52627,0.9508,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,2368.53,0.8632,0.58815,1.02522,0.90224,0.69811,0.77368,0.55974,0.77933,0.5022,0.93481,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,2558.51,0.85213,0.57668,1.01958,0.91845,0.694,0.76765,0.55779,0.79142,0.51056,0.93701,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,2749.51,0.84333,0.56637,1.0152,0.91179,0.70261,0.77572,0.56851,0.77087,0.48352,0.92753,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,2939.17,0.83356,0.55518,1.01116,0.9178,0.70367,0.77766,0.56196,0.76239,0.47204,0.9208,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,3129.27,0.82637,0.54617,1.00492,0.92078,0.70874,0.7823,0.57615,0.76188,0.46752,0.92357,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,3319.24,0.82382,0.54263,1.00412,0.92606,0.7116,0.78864,0.58175,0.7449,0.45727,0.92111,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,3509.65,0.82202,0.53775,1.00284,0.91688,0.7128,0.7857,0.57582,0.74882,0.46203,0.91872,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,3699.22,0.81104,0.52929,0.99802,0.9275,0.70817,0.78708,0.57701,0.75827,0.45351,0.91665,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,3888.84,0.80849,0.52538,0.99511,0.93454,0.71658,0.7926,0.58228,0.75118,0.44518,0.91441,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,4078.28,0.80269,0.51793,0.99115,0.93056,0.7154,0.79092,0.58518,0.73844,0.44058,0.90403,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,4268.2,0.79974,0.51419,0.99068,0.93378,0.72505,0.79592,0.59087,0.74024,0.43434,0.90858,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,4458.8,0.79576,0.51086,0.98857,0.92947,0.71991,0.79532,0.59393,0.72358,0.43062,0.90595,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,4648.56,0.78969,0.50545,0.98735,0.92605,0.72266,0.7978,0.58853,0.73487,0.4307,0.90463,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,4838.3,0.7865,0.50153,0.98382,0.92471,0.72967,0.80143,0.59188,0.73012,0.42603,0.90196,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,5028.01,0.78293,0.49801,0.9805,0.92493,0.72755,0.79772,0.58804,0.72885,0.42371,0.90066,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,5218.29,0.78303,0.49884,0.98034,0.93332,0.72778,0.80232,0.59391,0.71875,0.41446,0.89458,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,5408.72,0.77643,0.49302,0.97964,0.93396,0.7242,0.80363,0.60441,0.71055,0.41169,0.89443,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,5598.96,0.77688,0.49045,0.97856,0.92503,0.72576,0.79936,0.59502,0.71503,0.4128,0.89428,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,5788.77,0.77104,0.48837,0.97453,0.93131,0.72711,0.80311,0.59566,0.71866,0.41261,0.89373,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,5978.54,0.76888,0.48389,0.97595,0.93365,0.73252,0.80727,0.60012,0.70616,0.40161,0.88954,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,6168.84,0.76237,0.47852,0.97138,0.93304,0.73213,0.80463,0.59872,0.70981,0.40278,0.88915,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,6359.32,0.7629,0.47779,0.96959,0.93598,0.73516,0.80677,0.59754,0.71461,0.40096,0.88906,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,6549.3,0.76054,0.47435,0.96779,0.93777,0.73685,0.81052,0.60371,0.70553,0.40167,0.88847,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,6741.15,0.76196,0.47575,0.97229,0.93858,0.73772,0.80985,0.60315,0.70601,0.39531,0.8886,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,6931.65,0.75744,0.47251,0.96807,0.93366,0.73764,0.81102,0.60439,0.70138,0.39548,0.8883,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,7123.02,0.75502,0.47049,0.96813,0.92698,0.73928,0.80761,0.606,0.69808,0.39332,0.88409,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,7312.73,0.75414,0.46805,0.96635,0.93801,0.74051,0.81334,0.61019,0.69562,0.39038,0.88544,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,7502.91,0.7481,0.46471,0.9634,0.93189,0.73666,0.81172,0.609,0.6929,0.38881,0.88233,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,7692.84,0.75092,0.46591,0.9631,0.93442,0.73903,0.81132,0.60734,0.69625,0.38725,0.8805,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,7882.68,0.74585,0.46296,0.96263,0.93975,0.73971,0.81468,0.61274,0.68893,0.38463,0.87753,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,8073.22,0.74697,0.46171,0.96478,0.93747,0.74151,0.8124,0.6093,0.6871,0.38177,0.87686,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,8263.6,0.74307,0.45889,0.96065,0.93068,0.74012,0.81372,0.61071,0.68955,0.3819,0.87961,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,8459.04,0.74435,0.46056,0.96035,0.93626,0.73976,0.81312,0.60811,0.69367,0.38204,0.87839,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,8650.88,0.73672,0.45204,0.95814,0.93338,0.74378,0.81462,0.61219,0.68813,0.37727,0.87916,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,8841.67,0.73728,0.45203,0.95761,0.93738,0.74189,0.81473,0.61292,0.68162,0.37537,0.87701,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,9032.54,0.73595,0.44974,0.95714,0.93855,0.74414,0.8176,0.61416,0.68345,0.37505,0.87649,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,9223.31,0.73259,0.44771,0.95575,0.9411,0.74365,0.81714,0.61655,0.67882,0.37296,0.87625,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,9413.42,0.73272,0.44764,0.95482,0.93848,0.74564,0.81747,0.61271,0.6832,0.37309,0.87599,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,9602.82,0.7352,0.44989,0.95644,0.93823,0.74502,0.8185,0.61899,0.67419,0.36995,0.8737,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,9792.8,0.72857,0.44473,0.9527,0.93628,0.74689,0.81794,0.61603,0.67559,0.3678,0.87224,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,9984.95,0.72658,0.44453,0.95382,0.93994,0.74694,0.81963,0.6188,0.67329,0.36688,0.87423,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,10174.4,0.72891,0.44455,0.95505,0.93952,0.74681,0.82,0.61865,0.6712,0.36545,0.87168,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
