pair_id,viewpoint_1,viewpoint_2,number_of_train_images,number_of_val_images,number_of_test_images,precision,recall,F1,mAP50,mAP50-95,training_status,model_path,subset_status,option_a_status,option_b_status,option_b_number_of_test_images,option_b_precision,option_b_recall,option_b_F1,option_b_mAP50,option_b_mAP50-95,delta_mAP50-95_vs_full_M4,delta_mAP50_vs_full_M4,pilot_rank,pilot_name,pilot_note,recommended_protocol
p0001,ellow-radnear-az000,ellow-radnear-az045,287,56,2214,0.4905658384678068,0.630368933414784,0.5517492580684629,0.4905658384678068,0.29490787497256593,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0001__ellow_radnear_az000__ellow_radnear_az045/train/weights/best.pt,completed,completed,completed,67,0.6498325350430099,0.701656087616365,0.6747507104379393,0.6498325350430099,0.4575244411921713,nan,nan,,,,option_a_full_test
p0002,ellow-radnear-az000,ellow-radnear-az090,289,54,2214,0.5061402811622446,0.6113895618585221,0.5538087178097553,0.5061402811622446,0.30590246016725264,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0002__ellow_radnear_az000__ellow_radnear_az090/train/weights/best.pt,completed,completed,completed,67,0.6007660644714933,0.6439409495671292,0.6216047080320808,0.6007660644714933,0.42863652650036244,nan,nan,,,,option_a_full_test
p0003,ellow-radnear-az000,ellow-radnear-az135,289,54,2214,0.5166916643979408,0.6268674409296668,0.5664721305647548,0.5166916643979408,0.3218381243912104,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0003__ellow_radnear_az000__ellow_radnear_az135/train/weights/best.pt,completed,completed,completed,67,0.6456093370594077,0.6992244522087059,0.6713481452482919,0.6456093370594077,0.4410302825057148,nan,nan,,,,option_a_full_test
p0004,ellow-radnear-az000,ellow-radnear-az180,276,60,2214,0.5459706644519909,0.6487610686915162,0.592944008965308,0.5459706644519909,0.33952145434799863,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0004__ellow_radnear_az000__ellow_radnear_az180/train/weights/best.pt,completed,completed,completed,74,0.6446307723747433,0.6969433794821434,0.6697671513649798,0.6446307723747433,0.4460416736674184,nan,nan,,,,option_a_full_test
p0005,ellow-radnear-az000,ellow-radnear-az225,280,59,2214,0.5523098034321585,0.6708983941171843,0.6058555868415288,0.5523098034321585,0.34021718178420085,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0005__ellow_radnear_az000__ellow_radnear_az225/train/weights/best.pt,completed,completed,completed,71,0.6357177701583323,0.685403654081564,0.6596263971448303,0.6357177701583323,0.4344726879016669,nan,nan,,,,option_a_full_test
p0006,ellow-radnear-az000,ellow-radnear-az270,291,54,2214,0.510813186186516,0.6224544776142091,0.561134787698465,0.510813186186516,0.31444790086435914,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0006__ellow_radnear_az000__ellow_radnear_az270/train/weights/best.pt,completed,completed,completed,65,0.6460815307981328,0.6962408246057497,0.670224012815597,0.6460815307981328,0.4490237529923781,nan,nan,,,,option_a_full_test
p0007,ellow-radnear-az000,ellow-radnear-az315,281,65,2214,0.502031395885058,0.632115422559099,0.5596132401678875,0.502031395885058,0.3070990465452565,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0007__ellow_radnear_az000__ellow_radnear_az315/train/weights/best.pt,completed,completed,completed,64,0.689253899937057,0.736649663510292,0.7121640852544759,0.689253899937057,0.4848352239126507,nan,nan,,,,option_a_full_test
p0008,ellow-radnear-az000,ellow-radmid-az000,288,56,2214,0.4891299231074752,0.6098932199588311,0.5428766912949994,0.4891299231074752,0.2995644595896603,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0008__ellow_radnear_az000__ellow_radmid_az000/train/weights/best.pt,completed,completed,completed,66,0.7061813297556643,0.7423718016389066,0.7238244765654664,0.7061813297556643,0.48652857711468145,nan,nan,,,,option_a_full_test
p0009,ellow-radnear-az000,ellow-radmid-az045,284,54,2214,0.4982938664282111,0.6077473070485453,0.5476048499869286,0.4982938664282111,0.2986726009125882,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0009__ellow_radnear_az000__ellow_radmid_az045/train/weights/best.pt,completed,completed,completed,72,0.6516951376978989,0.7000371241421725,0.6750017039475681,0.6516951376978989,0.4531762612719094,nan,nan,,,,option_a_full_test
p0010,ellow-radnear-az000,ellow-radmid-az090,288,55,2214,0.500349664019032,0.6260030389956258,0.556167547515138,0.500349664019032,0.30548192427136867,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0010__ellow_radnear_az000__ellow_radmid_az090/train/weights/best.pt,completed,completed,completed,67,0.6146162761250163,0.6626567531373156,0.6377330713662197,0.6146162761250163,0.4270814375822825,nan,nan,,,,option_a_full_test
p0011,ellow-radnear-az000,ellow-radmid-az135,287,58,2214,0.5161015399634463,0.633054930867649,0.5686268719627974,0.5161015399634463,0.3153462703199754,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0011__ellow_radnear_az000__ellow_radmid_az135/train/weights/best.pt,completed,completed,completed,65,0.6709594114659005,0.7094510547649245,0.6896685787506044,0.6709594114659005,0.48514357696956206,nan,nan,,,,option_a_full_test
p0012,ellow-radnear-az000,ellow-radmid-az180,293,61,2214,0.5232595379971364,0.6433071298310272,0.5771064797733979,0.5232595379971364,0.32444992388480826,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0012__ellow_radnear_az000__ellow_radmid_az180/train/weights/best.pt,completed,completed,completed,56,0.6357064389311127,0.6824031164169136,0.6582276158954775,0.6357064389311127,0.43162694333398444,nan,nan,,,,option_a_full_test
