single_id,viewpoint,number_of_train_images,number_of_val_images,number_of_test_images,precision,recall,F1,mAP50,mAP50-95,training_status,model_path,subset_status,evaluation_status,delta_mAP50-95_vs_full_M4,delta_mAP50_vs_full_M4,pilot_rank,pilot_name,pilot_note
sv0001,ellow-radnear-az000,141,29,2214,0.5303346337046508,0.6488384280685342,0.5836318709075391,0.5303346337046508,0.31016518002313737,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0001__ellow_radnear_az000/train/weights/best.pt,completed,completed,nan,nan,,,
sv0002,ellow-radnear-az045,146,27,2214,0.49813793757808983,0.6242674285389078,0.5541158279122731,0.49813793757808983,0.28505665657478896,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0002__ellow_radnear_az045/train/weights/best.pt,completed,completed,nan,nan,,,
sv0003,ellow-radnear-az090,148,25,2214,0.48881408313422153,0.6138004969623285,0.5442233987577014,0.48881408313422153,0.29210572313626104,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0003__ellow_radnear_az090/train/weights/best.pt,completed,completed,nan,nan,,,
sv0004,ellow-radnear-az135,148,25,2214,0.48202556848274736,0.6037675364893522,0.5360715382608479,0.48202556848274736,0.2839740856928261,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0004__ellow_radnear_az135/train/weights/best.pt,completed,completed,nan,nan,,,
sv0005,ellow-radnear-az180,135,31,2214,0.49190736317453637,0.6110546879068814,0.5450455888106074,0.49190736317453637,0.29540226925164786,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0005__ellow_radnear_az180/train/weights/best.pt,completed,completed,nan,nan,,,
sv0006,ellow-radnear-az225,139,30,2214,0.4923860272818094,0.6121135634174217,0.5457605747877368,0.4923860272818094,0.29327532500466835,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0006__ellow_radnear_az225/train/weights/best.pt,completed,completed,nan,nan,,,
sv0007,ellow-radnear-az270,150,25,2214,0.44188373997801716,0.5753165294587242,0.49984851036102484,0.44188373997801716,0.2678192772347479,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0007__ellow_radnear_az270/train/weights/best.pt,completed,completed,nan,nan,,,
sv0008,ellow-radnear-az315,140,36,2214,0.48673059608234576,0.6068218056917455,0.5401821416530977,0.48673059608234576,0.27834927940285153,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0008__ellow_radnear_az315/train/weights/best.pt,completed,completed,nan,nan,,,
sv0009,ellow-radmid-az000,147,27,2214,0.5196061846271486,0.6361860209745497,0.5720166470574564,0.5196061846271486,0.31117612143053364,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0009__ellow_radmid_az000/train/weights/best.pt,completed,completed,nan,nan,,,
sv0010,ellow-radmid-az045,143,25,2214,0.5128967761007864,0.6398759690009617,0.5693929232790678,0.5128967761007864,0.30014263000222136,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0010__ellow_radmid_az045/train/weights/best.pt,completed,completed,nan,nan,,,
sv0011,ellow-radmid-az090,147,26,2214,0.49588602423856504,0.6119279038757736,0.547829355946276,0.49588602423856504,0.29891069134571624,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0011__ellow_radmid_az090/train/weights/best.pt,completed,completed,nan,nan,2,low_mid_side,Low elevation with a side azimuth to contrast against front-view pilots.
sv0012,ellow-radmid-az135,146,29,2214,0.47279385342897795,0.5961771018491083,0.5273648791253336,0.47279385342897795,0.27777266742978585,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0012__ellow_radmid_az135/train/weights/best.pt,completed,completed,nan,nan,,,
sv0013,ellow-radmid-az180,152,32,2214,0.5363496222003464,0.6472557929593863,0.5866066436911365,0.5363496222003464,0.33089890701803604,completed,/vol/tensusers6/lisannehuisman/experiments/m4_single_viewpoint_training/singles/sv0013__ellow_radmid_az180/train/weights/best.pt,completed,completed,nan,nan,,,
